Timestamp,Utility Node,Live Flow (m3/s),Max Capacity,Kinetic Load,Status,Gate Phase Vector
2026-06-25 18:48:38,Warrington Central Inlet,185.0,250.0,6.9168,SURGE WARNING,ADJUST PHASE BY 25.44° // INVERSE OPEN
2026-06-25 18:48:38,Salford Basin Node,120.0,300.0,0.2010,OPTIMAL SYSTEM,HOLD BALANCED VECTOR
2026-06-25 18:48:38,Dwr Cymru Gateway,315.0,350.0,10.7945,SURGE WARNING,ADJUST PHASE BY 30.94° // INVERSE OPEN
2026-06-25 18:48:38,Mersey Inflow Alpha,45.2,200.0,0.1136,OPTIMAL SYSTEM,HOLD BALANCED VECTOR
2026-06-25 18:48:38,Weaver Grid Bravo,88.7,150.0,0.2971,OPTIMAL SYSTEM,HOLD BALANCED VECTOR
2026-06-25 18:48:38,Manchester Ring Main,115.4,500.0,0.1160,OPTIMAL SYSTEM,HOLD BALANCED VECTOR
2026-06-25 19:05:50,Warrington Central Inlet,185.0,250.0,6.9168,SURGE WARNING,ADJUST PHASE BY 25.44° // INVERSE OPEN
2026-06-25 19:05:50,Salford Basin Node,120.0,300.0,0.2010,OPTIMAL SYSTEM,HOLD BALANCED VECTOR
2026-06-25 19:05:50,Dwr Cymru Gateway,315.0,350.0,10.7945,SURGE WARNING,ADJUST PHASE BY 30.94° // INVERSE OPEN
2026-06-25 19:05:50,Mersey Inflow Alpha,45.2,200.0,0.1136,OPTIMAL SYSTEM,HOLD BALANCED VECTOR
2026-06-25 19:05:50,Weaver Grid Bravo,88.7,150.0,0.2971,OPTIMAL SYSTEM,HOLD BALANCED VECTOR
2026-06-25 19:05:50,Manchester Ring Main,115.4,500.0,0.1160,OPTIMAL SYSTEM,HOLD BALANCED VECTOR
